epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,1809.29,0.4949,0.09671,0.10132,0.33741,0.84192,0.99921,1,0.995,0.85399,0.99921,1,0.995,0.995,0.554,0.04379,0.00727,0.31197,0.8566,0.0011387,0.0011387,0.0011387
89,1830.18,0.4937,0.1042,0.11185,0.31697,0.83812,0.99922,1,0.995,0.86072,0.99922,1,0.995,0.99285,0.54163,0.04505,0.00647,0.3058,0.85368,0.0011288,0.0011288,0.0011288
90,1850.51,0.4957,0.09744,0.09804,0.32007,0.83443,0.99923,1,0.995,0.84795,0.99923,1,0.995,0.995,0.54868,0.04293,0.00651,0.3016,0.8553,0.0011189,0.0011189,0.0011189
91,1870.95,0.51245,0.09176,0.09932,0.32056,0.84296,0.99924,1,0.995,0.83726,0.99924,1,0.995,0.995,0.55548,0.03939,0.00678,0.30304,0.86557,0.001109,0.001109,0.001109
92,1891.2,0.51467,0.09297,0.10505,0.32627,0.84465,0.99923,1,0.995,0.8409,0.99923,1,0.995,0.995,0.55184,0.03547,0.00697,0.30659,0.86795,0.0010991,0.0010991,0.0010991
93,1911.54,0.51292,0.07929,0.10906,0.32176,0.84951,0.99921,1,0.995,0.84592,0.99921,1,0.995,0.995,0.5489,0.03407,0.00694,0.31055,0.85638,0.0010892,0.0010892,0.0010892
94,1931.38,0.48231,0.09476,0.0902,0.31334,0.84863,0.99921,1,0.995,0.84592,0.99921,1,0.995,0.995,0.5489,0.03407,0.00694,0.31055,0.85638,0.0010793,0.0010793,0.0010793
95,1951.43,0.48991,0.06539,0.07899,0.31264,0.83371,0.99924,1,0.995,0.85423,0.99924,1,0.995,0.995,0.56817,0.03479,0.00686,0.30449,0.85605,0.0010694,0.0010694,0.0010694
96,1971.56,0.49008,0.07051,0.07971,0.31115,0.8256,0.99923,1,0.995,0.83611,0.99923,1,0.995,0.995,0.56474,0.03426,0.00665,0.30848,0.8614,0.0010595,0.0010595,0.0010595
97,1992.04,0.47869,0.0988,0.11225,0.31416,0.84127,0.99922,1,0.995,0.84861,0.99922,1,0.995,0.995,0.5212,0.03263,0.00718,0.30131,0.85709,0.0010496,0.0010496,0.0010496
